,training_time,memory_usage,avg_cpu,max_cpu,avg_prediction_time,max_prediction_time
Content-Based,1495.787474155426,4103.50390625,8.983248490588375,100.0,0.4982994532585144,0.5976850986480713
Collaborative,2248.8584117889404,-840.3984375,8.302529571041756,91.3,0.13197849750518797,0.34085893630981445
Hybrid,3030.0465757846832,500.30859375,8.493736263736265,100.0,0.8355357146263123,2.7310807704925537
